,producto,precio,precio_x_unidad,unidad
0,Limón Tahití Malla TAEQ 1000 gr, 3112, 3,Gr
1,Banano 1 und, 840, 840,Und
2,TOMATE CHONTO FRESCAMPO 1000 gr, 2090, 2,Gr
3,Tomate Chonto 1 und, 720, 720,Und
4,Cebolla Blanca 1 und, 1500, 1500,Und
5,ZANAHORIA FRESCAMPO 1000 gr, 4500, 4,Gr
6,Cebolla Roja 1 und, 630, 630,Und
7,CILANTRO 100 gr, 1560, 15,Gr
8,Aguacate Und 450 gr, 4300, 9,Gr
9,Pepino Cohombro 1 und, 1670, 1670,Und
10,Platano Maduro Und 1 und, 1100, 1100,Und
11,Ajo Malla Importado x3 1 und, 1680, 1680,Und
12,Aguacate Hass 1 und, 1580, 1580,Und
13,Piña 1 und, 8460, 8460,Und
14,Pimentón 1 und, 1840, 1840,Und
15,Mango Tommy 1 und, 5390, 5390,Und
16,PAPA FRESCAMPO 2000 gr, 10790, 5,Gr
17,Cebolla Junca 500 gr, 3870, 7,Gr
18,Papaya Und 1 und, 4980, 4980,Und
19,Plátano Verde 1 und, 1140, 1140,Und
20,Manzana Bolsa TAEQ 800 gr, 9250, 11,Gr
21,Brocolí 1 und, 4880, 4880,Und
22,PLATANO FRESCAMPO 1600 gr, 4520, 2,Gr
23,ARANDANOS(blue berrie) 125 gr, 7290, 58,Gr
24,Papa Criolla EXITO MARCA PROPIA 1000 gr, 4490, 4,Gr
25,Manzana Verde Bolsa. TAEQ 1000 gr, 11090, 11,Gr
26,Zanahoria 1 und, 530, 530,Und
27,Fresa Extra 500 gr, 11060, 22,Gr
28,Lechuga Batavia 1 und, 2870, 2870,Und
29,TOMATE ARBOL FRESCAMPO 1000 gr, 4360, 4,Gr
30,APIO 700 gr, 4970, 7,Gr
31,Papa Criolla FRESCAMPO 1000 gr, 6490, 6,Gr
32,Papa Capira EXITO MARCA PROPIA 3000 gr, 11940, 3,Gr
33,Pepino Zucchini 1 und, 1570, 1570,Und
34,UVA ISABELLA 500 gr, 3690, 7,Gr
35,Manzana Verde 1 und, 2110, 2110,Und
36,CHAMPINON ENTERO 250 gr, 8840, 35,Gr
37,PERAS FRESCAMPO 800 gr, 7590, 9,Gr
38,Limón Tahití 1 und, 200, 200,Und
39,TOMATE CHERRY 500 gr, 8680, 17,Gr
40,Espinaca Bogotana 300 gr, 4170, 13,Gr
41,Papa Pastusa Granel, 5970, 5,Kg
42,Mora Congelada 500 gr, 8140, 16,Gr
43,LECHUGA VERDE CRESPA HIDROP 170 gr, 2920, 17,Gr
44,Granadilla 1 und, 1680, 1680,Und
45,Murrapo 1 und, 580, 580,Und
46,Sandia Gourmet 1 und, 9080, 9080,Und
47,Coliflor 1 und, 3680, 3680,Und
48,Melón Común 1 und, 7890, 7890,Und
49,Manzana Gala 1 und, 1890, 1890,Und
50,Papa Capira 1 und, 1060, 1060,Und
51,UCHUVA SIN CAPACHO 400 gr, 7410, 18,Gr
52,Kiwi 1 und, 1790, 1790,Und
53,Yuca 1 und, 3760, 3760,Und
54,Cebolla Puerro 1 und, 3560, 3560,Und
55,NARANJA EKONO 2000 gr, 6970,No disponible,No disponible
56,MANDARINA ONECCO 1 und, 960, 960,Und
57,Pera 1 und, 1760, 1760,Und
58,Papa Criolla Granel, 4490, 4,Gr
59,Perejil Liso 100 gr, 1550, 15,Gr
60,Manzana Combinada TAEQ 1000 gr, 13150, 13,Gr
61,Champiñón Tajado 250 gr, 8770, 35,Gr
62,Berenjena 1 und, 2160, 2160,Und
63,Guineo Colicero 1 und, 330, 330,Und
64,Naranja Jugo TAEQ 3000 gr, 10800, 3,Kg
65,LECHUGA HIDROP. VERDE CRESPA 170 gr, 3610, 21,Gr
66,Fresa Primera 500 gr, 8410, 16,Gr
67,HABICHUELA EKONO 500 gr, 2600, 5,Gr
68,Lulo 1 und, 1010, 1010,Und
69,Guayaba Pera 1 und, 280, 280,Und
70,MARACUYA EKONO 1000 gr, 7280, 7,Gr
71,Jengibre, 3485, 34,Kg
72,Mazorca 1 und, 3130, 3130,Und
73,Naranja Tangelo Malla 1500 gr, 7710, 5,Gr
74,Manzana Roja 1 und, 1270, 1270,Und
75,LECHUGA VERDE CRESPA PET 130 gr, 5830, 44,Gr
76,REPOLLO MORADO E UNIDAD 1 und, 1500, 1500,Und
77,AHUYAMA ENTERA, 3490, 3,Kg
78,Pepino C/Cin Amarillo 1 und, 1680, 1680,Und
79,HABICHUELA 700 gr, 6400, 9,Gr
80,Mandarina Importada Malla 1000 gr, 14600, 14,Gr
81,PAPA PASTUSA EXITO MARCA PROPIA 3000 gr, 15250, 5,Gr
82,TOMATE UVALINA 500 gr, 9232, 18,Gr
83,Tomate Larga Vida 1 und, 780, 780,Und
84,Arracacha 1 und, 1180, 1180,Und
85,ENSALADA BABY MIX 150 gr, 8920, 59,Gr
86,Arandanos organicos TAEQ 250 gr, 19200, 76,Gr
87,Mandarina Importada 1 und, 3020, 3020,Und
88,Champiñón Entero 500 gr, 16100, 32,Gr
89,Maracuya 1 und, 1140, 1140,Und
90,Durazno Criollo 1 und, 1350, 1350,Und
91,LECHUGA CRESPA BOLSA 200 gr, 3800, 19,Gr
92,Pitahaya 1 und, 3720, 3720,Und
93,Acelga 500 gr, 2800, 5,Gr
94,KIWI MALLA 1000 gr, 17800, 17,Gr
95,Uva Red Globe, 24900, 24,Kg
96,Ahuyama Porcionada, 2890, 2,Kg
97,Lechuga Rugula 150 gr, 6240, 41,Gr
98,ALBAHACA FRESCA BOLSA 50 gr, 4800, 96,Gr
99,Papa Sin Lavar 1 und, 590, 590,Und
100,Repollo Blanco 1 und, 4500, 4500,Und
101,Arandano Congelado 500 gr, 20800, 41,Gr
102,Fresa 250 gr, 6520, 26,Gr
103,Mango Congelado 500 gr, 8060, 16,Gr
104,Mango De Azucar 1 und, 1200, 1200,Und
105,Zapayo, 4222, 3,Gr
106,Ciruela Roja Bja 500 gr, 5210, 10,Und
107,PLATANO ESPECIAL PARA ASADO, 620, 2,Kg
108,ESPINACA 300 gr, 1410, 4,Gr
109,Coco 1 und, 8240, 8240,Und
110,Tomate Árbol 1 und, 530, 530,Und
111,ARVEJA EN VAINA 600 gr, 6020, 10,Gr
112,Sandia 1 und, 24200, 24200,Und
113,Guayaba Congelada FRUTINAL 500 gr, 6930, 13,Gr
114,Guanabana Congelada 500 gr, 10710, 21,Gr
115,PAPA CRIOLLA FREIR EXITO MARCA PROPIA 1000 gr, 7810, 7,Gr
116,Remolacha 1 und, 740, 740,Und
117,Limon Mandarino Organico 1 und, 5000, 5000,Und
118,Perejil Crespo 100 gr, 3800, 38,Gr
119,Mazorca Dulce 1 und, 5900, 5900,Und
120,Cilantro kosher TAEQ 100 gr, 3090, 30,Gr
121,Espinaca Bolsa 300 gr, 4340, 14,Gr
122,CEBOLLA BCA SEMIPELADA UNIDAD, 690,No disponible,No disponible
123,Platano verde sw unidad 1 UNIDAD, 3140, 3140,Und
124,Brocoli En Vinipel 450 gr, 8110, 18,Gr
125,Naranja Jugo 1 und, 780, 780,Und
126,Durazno 1 und, 2790,No disponible,No disponible
127,Cogollo de lechuga Kosher TAEQ 250 gr, 9310, 37,Gr
128,ESPINACA BABY ORGAN TAEQ 150 gr, 10340, 68,Gr
129,Lechuga Batavia, 4090, 4,Kg
130,Espinaca unidad kosher TAEQ 300 gr, 3640, 12,Gr
131,Guayaba Manzana 1 und, 2030, 2030,Und
132,Pimenton Colores, 10890, 10,Kg
133,Guayaba Pera FRESCAMPO 1000 gr, 2790, 2,Gr
134,Naranja Tangelo 1 und, 2260, 2260,Und
135,Espárragos 1 und, 25750, 25750,Und
136,Mandarina Comun., 1647, 7,Kg
137,Maracuya Congelada 500 gr, 13500, 27,Gr
138,LECHUGA ROMANA BOLSA 200 gr, 5090, 25,Gr
139,Manzana Verde Bandeja TAEQ 1000 gr, 16200, 16,Gr
140,Ajo Nacional Pelado 50 gr, 3300, 66,Gr
141,Zanahoria Baby Natural GRIMMWAY FARMS 250 gr, 14850, 59,Gr
142,Pera Boyacense (Nacional) Unid 1 und, 2200, 2200,Und
143,Yuca Parafinada 1 und, 2840, 2840,Und
144,Guanabana 1 und, 23550, 23550,Und
145,Apio, 7770, 7,Kg
146,Pulpa De Guanabana FRESCAMPO 250 gr, 3990, 15,Gr
147,Espinaca Baby 150 gr, 8620, 57,Gr
148,Manzana Gala Bja TAEQ 1000 gr, 14200, 14,Gr
149,Uva Verde Sin Semilla, 40350, 40,Kg
150,PIMENTON VERDE, 9437, 7,Kg
151,Hoja Sabila 1 und, 1250, 1250,Und
152,Guanábana motas 140 gr, 9330, 66,Gr
153,Yerbabuena Fresca Bolsa 50 gr, 4800, 96,Gr
154,LECHUGA RUGULA 150 gr, 5400, 36,Gr
155,Pulpa De Lulo FRESCAMPO 250 gr, 3990, 15,Gr
156,AGUACATE 1 und, 3000, 3000,Und
157,Pina Congelada FRUTINAL 500 gr, 8920, 17,Gr
158,AGRAZ CONGELADO FRUTINAL 200 gr, 9330, 46,Gr
159,YUCA TROZOS AL VACIO TAEQ 500 gr, 8500, 17,Gr
160,FRIJOL VERDE 700 gr, 4840, 6,Gr
161,LECHUGA HIDROP. TROPICAL DEFRESCURA 170 gr, 5320, 31,Gr
162,ARVEJA DESGRANADA 250 gr, 7180, 28,Gr
163,Jugo De Limón AKYS FRUT 500 ml, 9910, 19,Ml
164,Salsa Polvo Tajin Clasico tajin 45 gr, 8160, 181,Gr
165,Pulpa Tripack De Frutas FRESCAMPO 750 gr, 8560, 11,Gr
166,GUINEO VERDE, 3584, 3,Kg
167,RAIZ CHINA 250 gr, 2700, 10,Gr
168,Manzana Criolla 1 und, 1430, 1430,Und
169,AGRAZ 250 gr, 7420, 29,Gr
170,Pulpa De Maracuyá FRESCAMPO 250 gr, 3990, 15,Gr
171,Brevas 1 und, 310, 310,Und
172,Espinaca tierna kosher TAEQ 150 gr, 10770, 71,Gr
173,UVA RED GLOBE NACIONAL 1000 gr, 19250, 19,Gr
174,Pulpa De Mora FRESCAMPO 250 gr, 3990, 15,Gr
175,Papa Sabanera Granel, 9592, 11,Kg
176,PULPA SAB.SURT X3UN. ECONOMICA FRUTINAL 170 gr, 9320, 54,Gr
177,Aguacate Und 350 gr, 3400, 9,Gr
178,Pulpa De Fresa FRESCAMPO 250 gr, 3990, 15,Gr
179,Curuba Larga 1 und, 660, 660,Und
180,Bebida verde TAEQ 400 ml, 4330, 10,Ml
181,Gulupa 1 und, 310, 310,Und
182,Manzana Nacional Bolsa 800 gr, 9460, 11,Gr
183,Ñame, 6490, 6,Kg
184,LECHUGA V/CRES ORGAN PET TAEQ 120 gr, 7250, 60,Gr
185,HABICHUELINA 250 gr, 6220, 24,Gr
186,Naranja Jugo 5000 gr, 17650, 3,Kg
187,Pulpa De Mango FRESCAMPO 250 gr, 3990, 15,Gr
188,Mandarina promocion 1000 gr, 4770, 4,Gr
189,Mandarina Arrayana 1 und, 670, 670,Und
190,Naranja Tangelo Importada, 2530, 10,Kg
191,Pera Nacional Bolsa 800 gr, 6420, 8,Gr
